question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"In a neuron expressing PACAP1R, Gs, ADCY7, and PDE4D, PACAP stimulation normally activates a cascade leading to cAMP production and PKA activation. However, when a mutation in Gs (Gαs) prevents its interaction with ADCY7, and PDE4D is pharmacologically inhibited, what is the net effect on PKA activity? Provide the logic considering PACAP1R signaling.",Reduced PKA activity,"1. PACAP binds PACAP1R, activating Gs. 2. Activated Gs normally stimulates ADCY7 to produce cAMP. 3. cAMP activates PKA. 4. PDE4D degrades cAMP, terminating the signal. 5. Inhibiting PDE4D would prolong cAMP signaling. 6. However, the Gs mutation prevents activation of ADCY7, so cAMP production is blocked at the source. 7. Without new cAMP production, PDE4D inhibition cannot sustain cAMP levels. 8. Therefore, PKA activity remains low despite PDE4D inhibition.","[""(PACAP, activates, PACAP1R)"", ""(PACAP1R, activates, Gs)"", ""(Gs, activates, ADCY7)"", ""(ADCY7, produces, cAMP)"", ""(cAMP, activates, PKA)"", ""(PDE4D, degrades, cAMP)"", ""(PDE4D_inhibitor, inhibits, PDE4D)"", ""(Gs_mutant, prevents_interaction_with, ADCY7)""]",6,ChEBI:58189,1214
"Protein BIRC5 (Q07889) is part of the chromosomal passenger complex (CPC) alongside CDCA8 (Q9GZZ7), INCENP (Q9NQS7), and AURKB (Q96GD4). In a cell line where AURKB carries a dominant-negative mutation that disrupts CPC kinase activity, but CDCA8 is overexpressed to high levels, what is the effect on CPC-mediated histone phosphorylation and why?",Histone phosphorylation remains defective,"1. The CPC requires functional AURKB kinase activity to phosphorylate histones. 2. A dominant-negative AURKB mutation poisons the entire CPC, preventing kinase activation even if other subunits are present. 3. CDCA8 overexpression cannot bypass the kinase defect because AURKB is the catalytic subunit. 4. Therefore, despite high CDCA8 levels, histone phosphorylation fails due to the irreparable kinase defect.","[""(BIRC5, part_of, CPC)"", ""(CDCA8, part_of, CPC)"", ""(INCENP, part_of, CPC)"", ""(AURKB, part_of, CPC)"", ""(CPC, phosphorylates, Histones)"", ""(AURKB_DN_mutant, disrupts, CPC_kinase_activity)"", ""(CDCA8_overexpression, no_effect_on, AURKB_catalytic_function)""]",5,uniprotkb:Q07889,1054
"Protein KRAS (P01116) interacts with GDP (CHEBI:37565) in its inactive state and GTP (CHEBI:57836) in its active state. It also binds to PDE6D (Q7Z699) and PDEFG (O15530), which regulate its membrane localization. In a cell with a mutation in PDE6D that disrupts KRAS membrane targeting, but with overexpression of a constitutively active KRAS mutant (G12V) that is GTP-bound and membrane-localized independent of PDE6D, what is the expected signaling outcome through the MAPK pathway?",MAPK pathway activation is restored,"1. Wild-type KRAS requires membrane localization (facilitated by PDE6D) for effective signaling. 2. The PDE6D mutation disrupts KRAS membrane targeting, impairing wild-type KRAS signaling. 3. The constitutively active KRAS-G12V mutant is GTP-bound and membrane-localized independently of PDE6D. 4. Overexpression of KRAS-G12V bypasses the PDE6D defect by directly engaging downstream effectors (e.g., RAF) at the membrane. 5. Thus, MAPK pathway activation is restored despite the PDE6D mutation.","[""(KRAS, binds, GDP)"", ""(KRAS, binds, GTP)"", ""(KRAS, interacts_with, PDE6D)"", ""(PDE6D, regulates_localization_of, KRAS)"", ""(KRAS, interacts_with, PDEFG)"", ""(KRAS-G12V, constitutively_active, GTP-bound)"", ""(KRAS-G12V, membrane_localized, independent_of_PDE6D)"", ""(KRAS, activates, MAPK_pathway)""]",6,uniprotkb:P01116,1041
"In a cell expressing SHC1 (P29353), GRB2 (Q13480), and GAB2 (Q9UQC2), a mutation in SHC1 prevents its phosphorylation by EGFR. However, overexpression of a constitutively active PI3K complex (P42338, P27986, P42336, O00329) restores AKT activation. What does this indicate about the position of PI3K relative to SHC1 in the EGFR signaling pathway, and why?",PI3K acts downstream of SHC1 and can bypass the SHC1 phosphorylation defect,"1. SHC1 normally requires phosphorylation by EGFR to recruit GRB2 and GAB2, forming a signaling complex. 2. GAB2 recruits PI3K to the membrane. 3. PI3K produces PIP3, leading to AKT activation. 4. The SHC1 mutation prevents phosphorylation, blocking GRB2/GAB2 recruitment and subsequent PI3K activation. 5. A constitutively active PI3K complex no longer requires upstream recruitment. 6. Therefore, overexpressed active PI3K directly produces PIP3, restoring AKT activation independently of the SHC1 defect, placing PI3K downstream of SHC1.","[""(EGFR, phosphorylates, SHC1)"", ""(SHC1_phospho, recruits, GRB2)"", ""(GRB2, binds, GAB2)"", ""(GAB2, recruits, PI3K_complex)"", ""(PI3K_complex, produces, PIP3)"", ""(PIP3, activates, AKT)"", ""(SHC1_mutant, prevents_phosphorylation, EGFR)"", ""(PI3K_active_mutant, bypasses, upstream_recruitment)""]",8,uniprotkb:P29353,993
"EGFR (P00533) forms a complex with EGF (P01133), HSP90 (P07900), and GRB2 (Q16543) for signal transduction. If a mutation in EGFR prevents its binding to HSP90, but the EGFR kinase domain remains functional and EGF binding is unaffected, what is the likely impact on downstream MAPK activation? Why?",MAPK activation fails,"1. HSP90 is required for proper folding and stability of EGFR. 2. Without HSP90 binding, mutant EGFR is unstable and degraded. 3. Even with intact EGF binding and kinase activity, the receptor cannot accumulate at the membrane. 4. GRB2 cannot recruit SOS to activate RAS. 5. Thus, the MAPK cascade fails to initiate due to lack of signal propagation.","[""(EGFR, binds, EGF)"", ""(EGFR, requires, HSP90)"", ""(HSP90, stabilizes, EGFR)"", ""(EGFR, recruits, GRB2)"", ""(GRB2, activates, SOS)"", ""(SOS, activates, RAS)"", ""(RAS, activates, MAPK)""]",7,uniprotkb:P00533,897
"Protein O60674 (LDL receptor) requires binding to LDL particles (containing ApoB-100 and ApoE) for internalization. Mutations in P16471 (ApoB-100) prevent LDL binding to O60674, while mutations in P10912 (HSPG2) impair LDL retention on the cell surface. In a hepatocyte where both ApoB-100 and HSPG2 are mutated, what is the effect on LDL internalization, and why?",Complete Failure,"1. LDL internalization requires binding to the LDL receptor (O60674). 2. ApoB-100 (P16471) is essential for LDL particles to bind O60674. 3. HSPG2 (P10912) acts as a co-receptor that retains LDL on the cell surface to facilitate receptor binding. 4. A mutation in ApoB-100 prevents initial binding to O60674. 5. A mutation in HSPG2 impairs retention, further reducing binding efficiency. 6. Both defects act synergistically via an AND-gate logic: without functional ApoB-100 OR functional HSPG2, LDL cannot be effectively bound and internalized.","[""(ApoB-100, component_of, LDL_particle)"", ""(LDL_particle, binds_to, LDL_receptor)"", ""(HSPG2, retains, LDL_particle)"", ""(ApoB-100_mutant, prevents, LDL_binding)"", ""(HSPG2_mutant, impairs, LDL_retention)"", ""(LDL_receptor, requires_binding_and_retention, for_internalization)""]",6,uniprotkb:O60674,850
"In a signaling cascade involving Insulin (P01308) and its receptor (P16471), a mutation in the Insulin receptor (P16471) prevents its activation by Insulin. However, overexpression of a constitutively active form of AKT (O14618) restores downstream signaling despite the receptor mutation. What does this imply about the position of AKT relative to the Insulin receptor in the pathway, and why?",AKT acts downstream of the Insulin receptor and can bypass the blockade,"1. Insulin (P01308) normally binds and activates the Insulin receptor (P16471). 2. Activated Insulin receptor initiates a cascade leading to AKT activation. 3. AKT (O14618) is a key downstream effector promoting cell survival and growth. 4. The receptor mutation blocks upstream signal transmission. 5. Constitutively active AKT does not require upstream activation. 6. Therefore, overexpressed active AKT restores downstream signaling, placing it downstream of the Insulin receptor and allowing it to bypass the receptor defect.","[""(Insulin, activates, Insulin_receptor)"", ""(Insulin_receptor, initiates_cascade, AKT)"", ""(AKT, promotes, downstream_signaling)"", ""(Insulin_receptor_mutant, blocks, activation)"", ""(AKT_active_mutant, bypasses, Insulin_receptor_requirement)""]",5,ChEBI:29105,796
"Protein Q9HCE1 (MGST3) is involved in the synthesis of leukotriene C4 (LTC4) and requires interactions with FLAP and LTC4 synthase. In a cell line expressing wild-type MGST3, FLAP, and LTC4 synthase, if FLAP is mutated to a dominant-negative form that disrupts the FLAP–MGST3 interaction but not FLAP–LTC4 synthase binding, what is the expected outcome for LTC4 production? Justify based on the complex formation logic.",Reduced LTC4 production,"1. MGST3 (Q9HCE1) forms a functional complex with FLAP and LTC4 synthase for LTC4 synthesis. 2. FLAP acts as a scaffold, facilitating interactions between MGST3 and LTC4 synthase. 3. The dominant-negative FLAP mutation disrupts FLAP–MGST3 binding but retains FLAP–LTC4 synthase interaction. 4. Without FLAP-mediated scaffolding, MGST3 cannot integrate into the complex. 5. Even if FLAP and LTC4 synthase interact, the absence of MGST3 prevents LTC4 synthesis. 6. Therefore, LTC4 production is impaired due to the failure to form a complete functional complex (bottleneck/AND-gate constraint).","[""(MGST3, interacts_with, FLAP)"", ""(MGST3, interacts_with, LTC4_synthase)"", ""(FLAP, scaffolds, MGST3–LTC4_synthase_complex)"", ""(FLAP_mutant, disrupts, FLAP–MGST3_interaction)"", ""(FLAP_mutant, retains, FLAP–LTC4_synthase_interaction)"", ""(Functional_complex, requires, MGST3_and_FLAP_and_LTC4_synthase)""]",6,uniprotkb:Q9HCE1,785
"In a cell expressing HER2 (ErbB2), EGFR, and EGF, where EGFR and HER2 form a heterodimer upon EGF binding, what is the expected signaling outcome if a mutation in HER2 prevents dimerization with EGFR but does not affect its intrinsic kinase activity? Consider the role of Grb2-SOS complex in MAPK activation.",MAPK activation is blocked,"1. EGF binds EGFR, promoting EGFR-HER2 heterodimer formation. 2. The heterodimer activates intrinsic tyrosine kinase activity, leading to autophosphorylation. 3. Phosphorylated tyrosines recruit adaptors like Grb2, which binds SOS. 4. SOS activates Ras, triggering the MAPK cascade. 5. The HER2 mutation prevents dimerization with EGFR. 6. Without dimerization, HER2's kinase activity cannot be properly engaged or coordinated, so phosphorylation of EGFR (and subsequent Grb2-SOS recruitment) fails. 7. Thus, MAPK activation is blocked despite HER2 retaining kinase activity, as dimerization is a prerequisite for signal initiation.","[""(EGF, binds, EGFR)"", ""(EGFR, dimerizes_with, HER2)"", ""(HER2-EGFR_heterodimer, has_kinase_activity, active)"", ""(active_HER2-EGFR, phosphorylates, tyrosine_residues)"", ""(phospho-tyrosine, recruits, Grb2)"", ""(Grb2, binds, SOS)"", ""(SOS, activates, Ras)"", ""(Ras, activates, MAPK_cascade)"", ""(HER2_dimerization_mutant, prevents, dimerization_with_EGFR)""]",9,uniprotkb:P04626,767
"The protein complex assembly for mTOR signaling involves multiple subunits including mTOR (P42336), RAPTOR (Q8N122), and others. In a cell line, RAPTOR is mutated to a dominant negative form that prevents its interaction with mTOR. However, the downstream effector S6K1 (Q9UQC2) remains partially active when nutrients are abundant. What does this imply about the dependency of S6K1 activation on the mTOR-RAPTOR interaction, and why?",S6K1 activation is partially independent of the mTOR-RAPTOR complex,"1. mTOR forms a complex with RAPTOR (part of mTORC1) to activate S6K1. 2. The dominant negative RAPTOR mutation disrupts mTORC1 assembly. 3. Normally, without functional mTORC1, S6K1 should not be activated. 4. However, S6K1 retains partial activity under nutrient-rich conditions. 5. This suggests an alternative pathway or complex (e.g., involving mTOR-RICTOR in mTORC2) can partially compensate, indicating S6K1 activation does not strictly require mTOR-RAPTOR.","[""(mTOR, interacts_with, RAPTOR)"", ""(mTOR-RAPTOR_complex, activates, S6K1)"", ""(RAPTOR_dominant_negative, disrupts, mTORC1_assembly)"", ""(S6K1, activated_by, mTORC1)"", ""(Nutrient_abundance, promotes, mTOR_signaling)"", ""(mTOR-RICTOR_complex, partially_activates, S6K1)""]",6,uniprotkb:P42336,729
"The protein PIK3R1 (P27986) is a regulatory subunit of PI3K. In a cell expressing wild-type PI3K complex, stimulation by insulin leads to AKT phosphorylation. However, a specific mutation (YXXM>YXXA) in PIK3R1 prevents its interaction with IRS1. When this mutant is expressed in cells lacking endogenous PIK3R1, insulin stimulation fails to induce AKT phosphorylation, even though IRS1 is present and phosphorylated. What does this indicate about the role of PIK3R1 in insulin signaling?",PIK3R1 is essential for transmitting the signal from IRS1 to PI3K activation,"1. Insulin receptor activation leads to phosphorylation of IRS1. 2. Phosphorylated IRS1 normally recruits PI3K via interaction with the SH2 domains of PIK3R1. 3. The YXXM motif in IRS1 binds PIK3R1, but the YXXA mutation in PIK3R1 disrupts this binding. 4. Without PIK3R1–IRS1 interaction, PI3K is not recruited/activated at the membrane. 5. Consequently, PIP3 production fails, preventing PDK1/AKT recruitment and AKT phosphorylation. 6. The persistence of IRS1 phosphorylation confirms upstream signaling is intact, placing the defect specifically at the PIK3R1-dependent step.","[""(Insulin_receptor, phosphorylates, IRS1)"", ""(IRS1_phosphoY, interacts_with, PIK3R1_SH2)"", ""(PIK3R1, regulatory_subunit_of, PI3K)"", ""(PI3K, produces, PIP3)"", ""(PIP3, recruits, PDK1_AKT)"", ""(PDK1, phosphorylates, AKT)"", ""(PIK3R1_YXXA_mutant, disrupts_interaction_with, IRS1)""]",7,uniprotkb:P27986,726
"The protein complex involving ChEBI:85236 (Vitamin K) requires interactions with uniprotkb:P19793 (VKORC1), uniprotkb:Q9UBK2 (GGCX), and uniprotkb:P37231 (PPOX) for gamma-carboxylation activity. In a cell line where VKORC1 is mutated and cannot reduce Vitamin K, but GGCX is overexpressed, what is the most likely outcome for gamma-carboxylation of substrate proteins?",Failure of gamma-carboxylation,"1. Vitamin K reduction by VKORC1 is essential to generate the active hydroquinone form (KH2). 2. KH2 is a cofactor for GGCX, which performs gamma-carboxylation on target proteins. 3. PPOX is involved in heme synthesis but not directly required for carboxylation. 4. A VKORC1 mutation prevents KH2 production, starving GGCX of its cofactor. 5. Overexpression of GGCX cannot compensate for the lack of KH2, as GGCX requires KH2 to function (AND-gate constraint). 6. Thus, gamma-carboxylation fails due to the upstream bottleneck at VKORC1.","[""(Vitamin_K, reduced_by, VKORC1)"", ""(VKORC1_mutant, loss_of_function, reduction)"", ""(GGCX, requires_cofactor, KH2)"", ""(GGCX, catalyzes, gamma-carboxylation)"", ""(KH2, produced_from, Vitamin_K_reduction)""]",5,ChEBI:85236,693
"The target protein ChEBI:57836 (cAMP) is produced downstream of ADCY activation and degraded by PDEs. In a cell where ADCY is constitutively active, but a dominant-negative mutation in PDE4D (Q13153) disrupts its homodimerization, what is the net effect on intracellular cAMP levels and why?",Persistent High cAMP,"1. Constitutively active ADCY continuously produces cAMP. 2. PDE4D normally degrades cAMP to terminate signaling. 3. PDE4D requires homodimerization for function. 4. A dominant-negative mutation in PDE4D disrupts dimer formation, rendering it non-functional. 5. Even if other PDEs (e.g., PDE3B, PDE7B) are present, the defective PDE4D subunits poison any heterodimers they form. 6. Thus, cAMP degradation is severely impaired, leading to sustained high cAMP levels due to unopposed production and failed degradation.","[""(ADCY_active, produces, ChEBI:57836)"", ""(PDE4D_WT, degrades, ChEBI:57836)"", ""(PDE4D, homodimerizes_with, PDE4D)"", ""(PDE4D_DN_mutant, disrupts, PDE4D_dimerization)"", ""(PDE4D_DN_mutant, dominant_negative_effect, PDE_family_complexes)""]",6,ChEBI:57836,655
"Protein O75376 (LXR) forms a heterodimer with RXR (P19793) to regulate transcription. The complex binds oxysterols (ChEBI:34310) and recruits coactivators like NCOA1 (Q15788). If a mutation in RXR disrupts its dimerization with LXR, but LXR is overexpressed and an oxysterol agonist is present, will the target genes be activated? Why or why not?",No activation,"1. LXR requires dimerization with RXR to form a functional transcription factor. 2. The RXR mutation disrupts dimerization, preventing functional complex formation. 3. Overexpression of LXR alone cannot compensate because the complex is an obligate heterodimer (AND-gate logic). 4. Oxysterol binding to LXR is necessary but insufficient without the dimer partner. 5. Thus, target gene activation fails despite overexpression and agonist presence due to the dimerization bottleneck.","[""(LXR, dimerizes_with, RXR)"", ""(LXR:RXR, binds, oxysterols)"", ""(LXR:RXR, recruits, NCOA1)"", ""(RXR_mutant, disrupts, dimerization)"", ""(Oxysterol_agonist, activates, LXR)""]",5,uniprotkb:O75376,627
"The HSP90 chaperone complex (including HSP90AA1, HSP90AB1, and co-chaperones like HSPA8 and DNAJA1) facilitates the folding of client proteins such as CFTR. If a cell has a dominant-negative mutation in HSP90AA1 that disrupts ATP binding but retains client interaction, and simultaneously overexpresses a functional HSP90AB1 isoform, what is the expected outcome for CFTR folding efficiency?",Impaired folding (despite HSP90AB1 overexpression),"1. HSP90 functions as a dimer (HSP90AA1-HSP90AB1 heterodimer or homodimer) requiring ATP hydrolysis by both subunits for proper chaperone cycling. 2. The dominant-negative HSP90AA1 mutant binds clients but cannot hydrolyze ATP, stalling the folding cycle. 3. Overexpressed functional HSP90AB1 can form homodimers or heterodimers with mutant HSP90AA1. 4. Heterodimers containing one mutant subunit are poisoned because the mutant disrupts coordinated ATP hydrolysis (bottleneck mechanism). 5. While HSP90AB1 homodimers are functional, they are outcompeted by the more abundant mutant heterodimers for client binding. 6. Thus, the dominant-negative effect of mutant HSP90AA1 prevails, impairing CFTR folding.","[""(HSP90AA1, dimerizes_with, HSP90AB1)"", ""(HSP90_dimer, hydrolyzes, ATP)"", ""(ATP_hydrolysis, required_for, client_folding)"", ""(HSP90AA1_DN_mutant, binds_ATP_defectively, null)"", ""(HSP90AA1_DN_mutant, binds_clients, normal)"", ""(HSP90AA1_DN_mutant, dominant_negative_effect, on_complex)"", ""(HSP90AB1_overexpression, forms_homodimers, functional)"", ""(HSP90AB1_overexpression, forms_heterodimers, with_mutant)""]",8,uniprotkb:P07900,626
